loss,mean_squared_error,mean_absolute_error,ssd_loss,mad_loss,val_loss,val_mean_squared_error,val_mean_absolute_error,val_ssd_loss,val_mad_loss 
145481.2969,108.9216,7.0281,55767.8555,1794.2687,63290.2109,42.1823,4.9181,21597.3418,833.8575

144573.6094,108.5917,7.0245,55598.9375,1779.4934,63440.3086,42.2367,4.9165,21625.2012,836.3021

141828.9375,105.9430,6.9605,54242.8359,1751.7223,63687.3984,42.3976,4.9209,21707.5703,839.5965

137196.0781,106.9607,6.9921,54763.8789,1648.6438,63898.4023,42.5114,4.9220,21765.8340,842.6515

145557.8281,107.8325,6.9997,55210.2461,1806.9519,64219.1641,42.7256,4.9268,21875.5234,846.8728

138935.6875,106.1347,6.9719,54340.9492,1691.8951,64544.6680,42.9602,4.9333,21995.6348,850.9806

135986.9844,106.3616,7.0070,54457.1289,1630.5970,64949.2344,43.2843,4.9437,22161.5703,855.7531

137544.1250,106.0345,6.9752,54289.6406,1665.0895,65339.5234,43.6183,4.9548,22332.5938,860.1386
